stateid,state,state_abbr,control,level,year,gender,race,cohort,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate,grad_cohort_ct
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,H,"4y bach",116,47,57,40.5,49.1,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,H,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,W,"4y bach",4105,2174,2644,53.0,64.4,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,W,"4y other",124,,35,,28.2,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,X,"4y bach",5170,2601,3214,50.3,62.2,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,X,"4y other",142,,36,,25.4,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,A,"4y bach",113,69,81,61.1,71.7,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,Ai,"4y bach",17,3,6,17.6,35.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,Ai,"4y other",1,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,B,"4y bach",546,109,201,20.0,36.8,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,B,"4y other",22,,1,,4.5,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,H,"4y bach",93,37,56,39.8,60.2,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,H,"4y other",1,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,W,"4y bach",3062,1360,1818,44.4,59.4,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,W,"4y other",72,,24,,33.3,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,X,"4y bach",4093,1690,2308,41.3,56.4,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,M,X,"4y other",106,,26,,24.5,7
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,A,"4y bach",202,118,153,58.4,75.7,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,Ai,"4y bach",24,9,14,37.5,58.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,B,"4y bach",1216,293,470,24.1,38.7,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,H,"4y bach",230,98,140,42.6,60.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,W,"4y bach",7112,3405,4366,47.9,61.4,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,B,X,"4y bach",9269,4136,5415,44.6,58.4,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,A,"4y bach",114,69,91,60.5,79.8,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,Ai,"4y bach",15,8,11,53.3,73.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,B,"4y bach",691,211,310,30.5,44.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,H,"4y bach",121,52,65,43.0,53.7,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,W,"4y bach",4106,2090,2584,50.9,62.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,F,X,"4y bach",5300,2552,3211,48.2,60.6,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,A,"4y bach",88,49,62,55.7,70.5,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,Ai,"4y bach",9,1,3,11.1,33.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,B,"4y bach",525,82,160,15.6,30.5,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,H,"4y bach",109,46,75,42.2,68.8,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,W,"4y bach",3006,1315,1782,43.7,59.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2009,M,X,"4y bach",3969,1584,2204,39.9,55.5,35
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,A,"4y bach",226,137,161,60.6,71.2,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,Ai,"4y bach",26,9,13,34.6,50.0,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,Ai,"4y other",4,,2,,50.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,B,"4y bach",1334,373,528,28.0,39.6,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,B,"4y other",18,,2,,11.1,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,H,"4y bach",245,105,152,42.9,62.0,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,H,"4y other",2,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,W,"4y bach",7579,3757,4652,49.6,61.4,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,W,"4y other",107,,41,,38.3,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,X,"4y bach",10058,4674,5859,46.5,58.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,B,X,"4y other",150,,50,,33.3,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,A,"4y bach",116,73,85,62.9,73.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,Ai,"4y bach",15,5,8,33.3,53.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,Ai,"4y other",3,,1,,33.3,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,B,"4y bach",629,240,293,38.2,46.6,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,B,"4y other",3,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,H,"4y bach",126,58,81,46.0,64.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,H,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,W,"4y bach",4250,2206,2693,51.9,63.4,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,W,"4y other",55,,22,,40.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,X,"4y bach",5450,2735,3341,50.2,61.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,F,X,"4y other",77,,28,,36.4,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,A,"4y bach",110,64,76,58.2,69.1,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,Ai,"4y bach",11,4,5,36.4,45.5,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,Ai,"4y other",1,,1,,100.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,B,"4y bach",705,133,235,18.9,33.3,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,B,"4y other",15,,2,,13.3,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,H,"4y bach",119,47,71,39.5,59.7,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,H,"4y other",2,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,W,"4y bach",3329,1551,1959,46.6,58.8,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,W,"4y other",52,,19,,36.5,7
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,X,"4y bach",4608,1939,2518,42.1,54.6,36
47,Tennessee,TN,"Private not-for-profit",4-year,2010,M,X,"4y other",73,,22,,30.1,7
47,Tennessee,TN,Public,4-year,2002,B,A,"4y bach",228,68,121,29.8,53.1,9
47,Tennessee,TN,Public,4-year,2002,B,A,"4y other",1,,1,,100.0,5
47,Tennessee,TN,Public,4-year,2002,B,Ai,"4y bach",56,3,12,5.4,21.4,9
47,Tennessee,TN,Public,4-year,2002,B,Ai,"4y other",0,,0,,,5
47,Tennessee,TN,Public,4-year,2002,B,B,"4y bach",2431,470,992,19.3,40.8,9
47,Tennessee,TN,Public,4-year,2002,B,B,"4y other",20,,1,,5.0,5
47,Tennessee,TN,Public,4-year,2002,B,H,"4y bach",116,27,42,23.3,36.2,9
47,Tennessee,TN,Public,4-year,2002,B,H,"4y other",1,,1,,100.0,5
47,Tennessee,TN,Public,4-year,2002,B,W,"4y bach",10755,2339,4845,21.7,45.0,9
47,Tennessee,TN,Public,4-year,2002,B,W,"4y other",91,,21,,23.1,5
47,Tennessee,TN,Public,4-year,2002,B,X,"4y bach",13713,2925,6063,21.3,44.2,9
47,Tennessee,TN,Public,4-year,2002,B,X,"4y other",122,,25,,20.5,5
47,Tennessee,TN,Public,4-year,2002,F,A,"4y bach",128,54,76,42.2,59.4,9
47,Tennessee,TN,Public,4-year,2002,F,A,"4y other",1,,1,,100.0,5
47,Tennessee,TN,Public,4-year,2002,F,Ai,"4y bach",26,3,6,11.5,23.1,9
47,Tennessee,TN,Public,4-year,2002,F,Ai,"4y other",0,,0,,,5
47,Tennessee,TN,Public,4-year,2002,F,B,"4y bach",1523,366,709,24.0,46.6,9
47,Tennessee,TN,Public,4-year,2002,F,B,"4y other",14,,1,,7.1,5
47,Tennessee,TN,Public,4-year,2002,F,H,"4y bach",59,18,28,30.5,47.5,9
47,Tennessee,TN,Public,4-year,2002,F,H,"4y other",1,,1,,100.0,5
47,Tennessee,TN,Public,4-year,2002,F,W,"4y bach",5755,1578,2810,27.4,48.8,9
47,Tennessee,TN,Public,4-year,2002,F,W,"4y other",73,,18,,24.7,5
47,Tennessee,TN,Public,4-year,2002,F,X,"4y bach",7544,2033,3654,26.9,48.4,9
47,Tennessee,TN,Public,4-year,2002,F,X,"4y other",92,,22,,23.9,5
47,Tennessee,TN,Public,4-year,2002,M,A,"4y bach",100,14,45,14.0,45.0,9
47,Tennessee,TN,Public,4-year,2002,M,A,"4y other",0,,0,,,5
47,Tennessee,TN,Public,4-year,2002,M,Ai,"4y bach",30,0,6,0.0,20.0,9
47,Tennessee,TN,Public,4-year,2002,M,Ai,"4y other",0,,0,,,5
47,Tennessee,TN,Public,4-year,2002,M,B,"4y bach",908,104,283,11.5,31.2,9
47,Tennessee,TN,Public,4-year,2002,M,B,"4y other",6,,0,,0.0,5
47,Tennessee,TN,Public,4-year,2002,M,H,"4y bach",57,9,14,15.8,24.6,9
47,Tennessee,TN,Public,4-year,2002,M,H,"4y other",0,,0,,,5
47,Tennessee,TN,Public,4-year,2002,M,W,"4y bach",5000,761,2035,15.2,40.7,9
47,Tennessee,TN,Public,4-year,2002,M,W,"4y other",18,,3,,16.7,5
47,Tennessee,TN,Public,4-year,2002,M,X,"4y bach",6169,892,2409,14.5,39.1,9
47,Tennessee,TN,Public,4-year,2002,M,X,"4y other",30,,3,,10.0,5
47,Tennessee,TN,Public,4-year,2003,B,A,"4y bach",267,59,126,22.1,47.2,9
47,Tennessee,TN,Public,4-year,2003,B,A,"4y other",3,,1,,33.3,4
47,Tennessee,TN,Public,4-year,2003,B,Ai,"4y bach",53,8,19,15.1,35.8,9
47,Tennessee,TN,Public,4-year,2003,B,Ai,"4y other",2,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,B,B,"4y bach",2747,461,1111,16.8,40.4,9
47,Tennessee,TN,Public,4-year,2003,B,B,"4y other",8,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,B,H,"4y bach",145,20,56,13.8,38.6,9
47,Tennessee,TN,Public,4-year,2003,B,H,"4y other",2,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,B,W,"4y bach",11217,1755,5055,15.6,45.1,9
47,Tennessee,TN,Public,4-year,2003,B,W,"4y other",60,,19,,31.7,4
47,Tennessee,TN,Public,4-year,2003,B,X,"4y bach",14571,2330,6414,16.0,44.0,9
47,Tennessee,TN,Public,4-year,2003,B,X,"4y other",77,,20,,26.0,4
47,Tennessee,TN,Public,4-year,2003,F,A,"4y bach",125,32,64,25.6,51.2,9
47,Tennessee,TN,Public,4-year,2003,F,A,"4y other",1,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,F,Ai,"4y bach",26,3,11,11.5,42.3,9
47,Tennessee,TN,Public,4-year,2003,F,Ai,"4y other",2,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,F,B,"4y bach",1743,364,792,20.9,45.4,9
47,Tennessee,TN,Public,4-year,2003,F,B,"4y other",3,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,F,H,"4y bach",73,13,32,17.8,43.8,9
47,Tennessee,TN,Public,4-year,2003,F,H,"4y other",1,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,F,W,"4y bach",6027,1164,2909,19.3,48.3,9
47,Tennessee,TN,Public,4-year,2003,F,W,"4y other",47,,16,,34.0,4
47,Tennessee,TN,Public,4-year,2003,F,X,"4y bach",8056,1590,3829,19.7,47.5,9
47,Tennessee,TN,Public,4-year,2003,F,X,"4y other",55,,16,,29.1,4
47,Tennessee,TN,Public,4-year,2003,M,A,"4y bach",142,27,62,19.0,43.7,9
47,Tennessee,TN,Public,4-year,2003,M,A,"4y other",2,,1,,50.0,4
47,Tennessee,TN,Public,4-year,2003,M,Ai,"4y bach",27,5,8,18.5,29.6,9
47,Tennessee,TN,Public,4-year,2003,M,Ai,"4y other",0,,0,,,4
47,Tennessee,TN,Public,4-year,2003,M,B,"4y bach",1004,97,319,9.7,31.8,9
47,Tennessee,TN,Public,4-year,2003,M,B,"4y other",5,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,M,H,"4y bach",72,7,24,9.7,33.3,9
47,Tennessee,TN,Public,4-year,2003,M,H,"4y other",1,,0,,0.0,4
47,Tennessee,TN,Public,4-year,2003,M,W,"4y bach",5190,591,2146,11.4,41.3,9
47,Tennessee,TN,Public,4-year,2003,M,W,"4y other",13,,3,,23.1,4
47,Tennessee,TN,Public,4-year,2003,M,X,"4y bach",6515,740,2585,11.4,39.7,9
47,Tennessee,TN,Public,4-year,2003,M,X,"4y other",22,,4,,18.2,4
47,Tennessee,TN,Public,4-year,2004,B,A,"4y bach",239,61,120,25.5,50.2,9
47,Tennessee,TN,Public,4-year,2004,B,A,"4y other",2,,0,,0.0,3
47,Tennessee,TN,Public,4-year,2004,B,Ai,"4y bach",56,8,17,14.3,30.4,9
47,Tennessee,TN,Public,4-year,2004,B,Ai,"4y other",0,,0,,,3
47,Tennessee,TN,Public,4-year,2004,B,B,"4y bach",3013,275,1186,9.1,39.4,9
47,Tennessee,TN,Public,4-year,2004,B,B,"4y other",9,,3,,33.3,3
47,Tennessee,TN,Public,4-year,2004,B,H,"4y bach",143,24,57,16.8,39.9,9
47,Tennessee,TN,Public,4-year,2004,B,H,"4y other",1,,1,,100.0,3
47,Tennessee,TN,Public,4-year,2004,B,W,"4y bach",11220,2245,4912,20.0,43.8,9
47,Tennessee,TN,Public,4-year,2004,B,W,"4y other",79,,27,,34.2,3
47,Tennessee,TN,Public,4-year,2004,B,X,"4y bach",14814,2635,6332,17.8,42.7,9
47,Tennessee,TN,Public,4-year,2004,B,X,"4y other",98,,34,,34.7,3
47,Tennessee,TN,Public,4-year,2004,F,A,"4y bach",136,36,70,26.5,51.5,9
47,Tennessee,TN,Public,4-year,2004,F,A,"4y other",1,,0,,0.0,3
47,Tennessee,TN,Public,4-year,2004,F,Ai,"4y bach",28,2,9,7.1,32.1,9
47,Tennessee,TN,Public,4-year,2004,F,Ai,"4y other",0,,0,,,3
47,Tennessee,TN,Public,4-year,2004,F,B,"4y bach",1929,212,835,11.0,43.3,9
47,Tennessee,TN,Public,4-year,2004,F,B,"4y other",7,,2,,28.6,3
47,Tennessee,TN,Public,4-year,2004,F,H,"4y bach",79,19,39,24.1,49.4,9
47,Tennessee,TN,Public,4-year,2004,F,H,"4y other",0,,0,,,3
47,Tennessee,TN,Public,4-year,2004,F,W,"4y bach",6042,1544,2873,25.6,47.6,9
